player;club;position;minutes;age;goals;assists;xg;xg_assist;npxg;defense__tackles;defense__interceptions;passing__passes;passing__passes_completed;passing__progressive_passes;possession__carries;possession__progressive_carries;goals_p90;assists_p90;xg_p90;xg_assist_p90;npxg_p90;cluster
Cristian Romero;Tottenham;DF;1,416;26;1;0;16;6;16;35;21;1223;1094;71;896;12;63,559;0,0;1016,949;381,356;1016,949;0
Georginio Rutter;Brighton;MF,FW;1,656;22;5;3;46;25;46;39;10;355;237;67;361;42;271,739;163,043;2500,0;1358,696;2500,0;2
José Sá;Wolves;GK;2,609;31;0;0;0;2;0;2;0;924;592;2;630;0;0,0;0,0;0,0;68,992;0,0;1
Bukayo Saka;Arsenal;FW,MF;1,729;22;6;10;68;76;60;29;3;731;552;70;628;96;312,319;520,532;3539,618;3956,044;3123,193;2
Mohamed Salah;Liverpool;FW;3,371;32;29;18;252;142;182;21;9;1263;892;144;1150;155;774,251;480,57;6727,974;3791,16;4859,092;2
William Saliba;Arsenal;DF;3,039;23;2;0;23;9;23;62;21;2559;2413;138;1756;16;59,23;0,0;681,145;266,535;681,145;0
Robert Sánchez;Chelsea;GK;2,880;26;0;0;0;1;0;0;2;1249;871;1;881;0;0,0;0,0;0,0;31,25;0,0;1
Jadon Sancho;Chelsea;FW;1,764;24;3;4;22;37;22;13;2;803;663;90;653;102;153,061;204,082;1122,449;1887,755;1122,449;0
Ibrahim Sangaré;Nott'ham Forest;MF;590;26;0;1;0;4;0;28;6;323;276;27;171;1;0,0;0,153;0,0;0,61;0,0;1
Pablo Sarabia;Wolves;MF,FW;814;32;3;2;29;18;29;16;4;445;308;60;325;15;0,332;0,221;3,206;1,99;3,206;1
Ismaila Sarr;Crystal Palace;MF;2,711;26;8;6;107;85;107;22;9;742;490;85;607;75;265,585;199,188;3552,195;2821,837;3552,195;2
Sávio;Manchester City;FW,MF;1,766;20;1;8;50;69;50;23;6;856;692;67;783;137;50,963;407,701;2548,131;3516,421;2548,131;2
Oliver Scarles;West Ham;DF,FW;665;18;0;0;1;1;1;21;11;372;293;22;219;12;0,0;0,0;0,135;0,135;0,135;1
Kevin Schade;Brentford;FW;2,293;22;11;2;82;37;82;39;5;541;323;38;434;61;431,749;78,5;3218,491;1452,246;3218,491;2
Fabian Schär;Newcastle Utd;DF;2,934;32;4;0;37;4;37;36;45;1977;1654;118;1438;18;122,699;0,0;1134,969;122,699;1134,969;0
Jeffrey Schlupp;Crystal Palace;MF,DF;103;31;0;0;2;2;2;2;0;50;39;5;30;4;0,0;0,0;1,748;1,748;1,748;1
Alex Scott;Bournemouth;MF;755;20;0;0;7;9;7;27;10;342;286;52;247;15;0,0;0,0;0,834;1,073;0,834;1
Matz Sels;Nott'ham Forest;GK;3,420;32;0;0;0;4;0;1;0;998;519;2;528;1;0,0;0,0;0,0;105,263;0,0;1
Nélson Semedo;Wolves;DF;2,886;30;0;4;9;28;9;62;23;1357;1096;80;901;67;0,0;124,74;280,665;873,181;280,665;0
Antoine Semenyo;Bournemouth;FW;3,203;24;11;5;100;58;100;55;11;1119;821;109;979;140;309,085;140,493;2809,866;1629,722;2809,866;2
Marcos Senesi;Bournemouth;DF;1,106;27;0;0;8;2;8;39;14;735;561;62;554;12;0,0;0,0;650,995;162,749;650,995;1
Ryan Sessegnon;Fulham;FW,DF;580;24;4;2;16;11;16;27;3;241;189;22;180;18;0,621;0,31;2,483;1,707;2,483;1
Luke Shaw;Manchester Utd;DF;349;29;0;0;0;7;0;4;2;290;249;24;226;7;0,0;0,0;0,0;1,805;0,0;1
Bernardo Silva;Manchester City;MF,FW;2,670;29;4;4;39;51;39;56;23;1783;1547;134;1288;101;134,831;134,831;1314,607;1719,101;1314,607;0
Jota Silva;Nott'ham Forest;FW,MF;854;24;3;1;21;29;21;27;12;196;118;18;175;21;0,316;0,105;2,213;3,056;2,213;1
Jahmai Simpson-Pusey;Manchester City;DF;96;18;0;0;0;0;0;1;0;115;107;3;79;1;0,0;0,0;0,0;0,0;0,0;1
Luis Sinisterra;Bournemouth;FW,MF;236;25;1;1;12;14;12;7;1;93;73;6;95;19;0,381;0,381;4,576;5,339;4,576;1
Oliver Skipp;Leicester City;MF;1,129;23;0;0;4;3;4;21;11;502;419;35;347;16;0,0;0,0;318,866;239,15;318,866;1
William Smallbone;Southampton;MF;690;24;1;0;6;7;6;20;2;356;270;27;193;5;0,13;0,0;0,783;0,913;0,783;1
Adam Smith;Bournemouth;DF;1,590;33;0;0;7;4;7;24;15;679;514;49;366;15;0,0;0,0;396,226;226,415;396,226;1
Emile Smith Rowe;Fulham;MF;2,043;24;6;3;45;14;45;31;11;1023;922;126;779;53;264,317;132,159;1982,379;616,74;1982,379;0
Dominic Solanke;Tottenham;FW;2,201;26;9;3;109;29;101;18;1;361;255;47;385;31;368,015;122,672;4457,065;1185,825;4129,941;2
Carlos Soler;West Ham;MF,FW;1,409;27;1;1;18;14;18;16;8;669;570;56;367;17;63,875;63,875;1149,752;894,251;1149,752;1
Ramón Sosa;Nott'ham Forest;FW,MF;295;24;1;0;10;5;10;5;4;97;66;6;75;12;0,305;0,0;3,051;1,525;3,051;1
Tomáš Souček;West Ham;MF;2,567;29;9;1;67;10;67;46;20;969;715;74;506;9;315,543;35,06;2349,046;350,604;2349,046;2
Boubakary Soumaré;Leicester City;MF;2,171;25;0;0;3;4;3;37;27;1234;1073;105;847;34;0,0;0,0;124,367;165,822;124,367;0
Djed Spence;Tottenham;DF;1,792;23;1;2;6;18;6;47;21;1161;992;105;794;59;50,223;100,446;301,339;904,018;301,339;0
Jason Steele;Brighton;GK;180;33;0;0;0;0;0;0;0;112;101;0;91;0;0,0;0,0;0,0;0,0;0,0;1
Jack Stephens;Southampton;DF;1,389;30;1;0;6;2;6;34;13;955;879;63;631;14;64,795;0,0;388,769;129,59;388,769;1
Raheem Sterling;Arsenal;FW,MF;499;29;0;2;14;5;14;9;1;201;158;18;201;27;0,0;0,361;2,525;0,902;2,525;1
Ross Stewart;Southampton;FW;389;28;1;0;11;0;11;6;1;95;67;2;64;3;0,231;0,0;2,545;0,0;2,545;1
Jakub Stolarczyk;Leicester City;GK;900;23;0;0;0;0;0;2;0;386;238;1;221;0;0,0;0,0;0,0;0,0;0,0;1
John Stones;Manchester City;DF,MF;548;30;2;0;4;1;4;6;4;403;367;21;292;10;0,328;0,0;0,657;0,164;0,657;1
Jørgen Strand Larsen;Wolves;FW;2,587;24;14;4;103;30;103;10;6;457;295;29;345;17;487,051;139,157;3583,301;1043,68;3583,301;2
Yukinari Sugawara;Southampton;DF,MF;1,557;24;1;1;5;22;5;31;11;891;713;72;564;33;57,803;57,803;289,017;1271,676;289,017;0
Kamaldeen Sulemana;Southampton;FW,MF;1,402;22;1;1;15;10;15;22;6;357;285;27;380;63;64,194;64,194;962,91;641,94;962,91;1
Crysencio Summerville;West Ham;FW,MF;786;22;1;1;16;17;16;13;0;254;194;18;207;29;0,115;0,115;1,832;1,947;1,832;1
Sammie Szmodics;Ipswich Town;FW,MF;992;28;4;0;34;2;34;16;6;201;149;19;179;16;0,363;0,0;3,085;0,181;3,085;1
Dominik Szoboszlai;Liverpool;MF;2,491;23;6;6;73;74;73;38;9;1322;1114;131;805;72;216,78;216,78;2637,495;2673,625;2637,495;2
James Tarkowski;Everton;DF;2,922;31;1;1;13;29;13;64;41;1290;1045;75;727;9;30,801;30,801;400,411;893,224;400,411;0
Marcus Tavernier;Bournemouth;FW,MF;1,939;25;3;5;55;40;55;43;5;934;689;128;705;53;139,247;232,078;2552,862;1856,627;2552,862;2
Charlie Taylor;Southampton;DF;356;30;0;0;0;1;0;7;5;223;196;9;116;3;0,0;0,0;0,0;0,253;0,0;1
Jack Taylor;Ipswich Town;MF;860;26;1;0;7;5;7;20;9;421;349;43;254;11;0,105;0,0;0,733;0,523;0,733;1
Mathys Tel;Tottenham;FW;911;19;2;1;30;26;22;16;2;266;185;21;266;28;0,198;0,099;2,964;2,569;2,173;1
Kenny Tete;Fulham;DF;1,774;28;0;2;14;9;14;56;32;956;772;63;611;34;0,0;101,466;710,259;456,595;710,259;0
Thiago;Brentford;FW,MF;175;23;0;0;1;1;1;5;2;56;40;4;45;3;0,0;0,0;0,514;0,514;0,514;1
Luke Thomas;Leicester City;DF;1,110;23;0;0;4;5;4;31;21;629;493;37;371;5;0,0;0,0;324,324;405,405;324,324;1
Youri Tielemans;Aston Villa;MF;3,026;27;3;7;33;70;25;84;23;2061;1694;235;1288;39;89,227;208,196;981,494;2081,956;743,556;0
Kieran Tierney;Arsenal;DF,FW;259;27;1;0;4;14;4;7;3;173;145;15;108;8;0,347;0,0;1,39;4,865;1,39;1
Jurriën Timber;Arsenal;DF;2,417;23;1;3;12;8;12;58;22;1395;1194;146;890;57;37,236;111,709;446,835;297,89;446,835;0
Jean-Clair Todibo;West Ham;DF;1,825;24;0;0;4;0;4;47;26;1082;951;38;760;9;0,0;0,0;197,26;0,0;197,26;0
Harry Toffolo;Nott'ham Forest;DF;137;28;0;0;0;0;0;5;2;67;47;2;17;0;0,0;0,0;0,0;0,0;0,0;1
Sandro Tonali;Newcastle Utd;MF;2,630;24;4;2;44;22;44;51;34;1535;1285;128;979;37;136,882;68,441;1505,703;752,852;1505,703;0
Pau Torres;Aston Villa;DF;2,020;27;0;0;5;1;5;21;10;1369;1217;97;965;40;0,0;0,0;222,772;44,554;222,772;0
Conor Townsend;Ipswich Town;DF;335;31;0;1;0;7;0;11;4;127;80;8;53;2;0,0;0,269;0,0;1,881;0,0;1
Adama Traoré;Fulham;FW,MF;1,772;28;2;7;40;49;40;20;1;587;424;68;538;100;101,58;355,53;2031,603;2488,713;2031,603;2
Mark Travers;Bournemouth;GK;450;25;0;0;0;0;0;0;0;142;100;0;85;0;0,0;0,0;0,0;0,0;0,0;1
Kieran Trippier;Newcastle Utd;DF;1,309;33;0;3;1;14;1;38;12;1256;1036;117;609;26;0,0;206,264;68,755;962,567;68,755;0
Leandro Trossard;Arsenal;FW;2,546;29;8;7;72;61;72;31;9;954;711;101;828;80;282,797;247,447;2545,169;2156,324;2545,169;2
Kostas Tsimikas;Liverpool;DF;837;28;0;1;4;21;4;31;11;654;550;76;368;17;0,0;0,108;0,43;2,258;0,43;1
Axel Tuanzebe;Ipswich Town;DF;1,710;26;0;1;2;3;2;31;23;814;682;61;402;10;0,0;52,632;105,263;157,895;105,263;1
Destiny Udogie;Tottenham;DF;1,924;21;0;1;3;15;3;75;22;1115;972;121;758;54;0,0;46,778;140,333;701,663;140,333;0
Manuel Ugarte;Manchester Utd;MF;1,785;23;1;2;10;11;10;77;27;910;800;61;668;16;50,42;100,84;504,202;554,622;504,202;0
Lesley Ugochukwu;Southampton;MF;1,655;20;1;1;9;10;9;50;14;706;600;49;479;29;54,381;54,381;489,426;543,807;489,426;0
Enes Ünal;Bournemouth;FW,MF;345;27;2;1;27;4;27;1;0;99;63;12;91;4;0,522;0,261;7,043;1,043;7,043;1
Hákon Valdimarsson;Brentford;GK;145;22;0;0;0;0;0;0;0;70;46;0;44;0;0,0;0,0;0,0;0,0;0,0;1
Virgil van Dijk;Liverpool;DF;3,330;33;3;1;22;7;22;38;56;2934;2687;198;1856;22;81,081;27,027;594,595;189,189;594,595;0
Jamie Vardy;Leicester City;FW;2,823;37;9;4;112;30;96;19;5;389;258;22;285;29;286,929;127,524;3570,67;956,429;3060,574;2
Renato Veiga;Chelsea;DF,MF;181;21;0;0;1;0;1;9;1;139;118;7;85;4;0,0;0,0;0,497;0,0;0,497;1
Joël Veltman;Brighton;DF;1,697;32;0;0;5;5;5;43;19;929;745;85;548;32;0,0;0,0;265,174;265,174;265,174;0
Micky van de Ven;Tottenham;DF;1,015;23;0;2;6;12;6;10;10;802;729;51;620;8;0,0;177,34;532,02;1064,039;532,02;1
Bart Verbruggen;Brighton;GK;3,240;21;0;1;0;0;0;0;0;1315;1011;2;955;0;0,0;27,778;0,0;0,0;0,0;1
Jannik Vestergaard;Leicester City;DF;1,391;31;0;0;1;1;1;22;16;959;870;32;672;3;0,0;0,0;64,702;64,702;64,702;1
Guglielmo Vicario;Tottenham;GK;2,160;27;0;0;0;0;0;0;1;874;764;1;661;0;0,0;0,0;0,0;0,0;0,0;1
Kyle Walker;Manchester City;DF;970;34;0;0;1;4;1;17;3;826;724;64;499;12;0,0;0,0;0,093;0,371;0,093;1
Kyle Walker-Peters;Southampton;DF;2,918;27;0;2;8;28;8;44;19;1693;1493;139;1271;114;0,0;61,686;246,744;863,605;246,744;0
Christian Walton;Ipswich Town;GK;630;28;0;0;0;0;0;0;0;255;177;0;143;0;0,0;0,0;0,0;0,0;0,0;1
Aaron Wan-Bissaka;West Ham;DF;3,154;26;2;5;12;35;12;70;66;1815;1472;149;1092;110;57,07;142,676;342,422;998,732;342,422;0
Danny Ward;Leicester City;GK;135;31;0;0;0;0;0;0;0;53;41;0;44;0;0,0;0,0;0,0;0,0;0,0;1
James Ward-Prowse;West Ham;MF;1,039;29;1;1;16;19;16;20;8;768;677;54;427;11;86,622;86,622;1385,948;1645,813;1385,948;1
James Ward-Prowse;Nott'ham Forest;MF;400;29;0;1;1;11;1;4;5;182;145;16;92;1;0,0;0,225;0,225;2,475;0,225;1
Ollie Watkins;Aston Villa;FW;2,598;28;16;8;153;33;138;10;8;424;307;31;409;55;554,273;277,136;5300,231;1143,187;4780,6;2
Adam Webster;Brighton;DF;887;29;0;0;2;5;2;10;20;725;636;63;476;8;0,0;0,0;0,203;0,507;0,203;1
Danny Welbeck;Brighton;FW;2,115;33;10;4;96;14;88;26;5;491;417;47;448;21;425,532;170,213;4085,106;595,745;3744,681;2
Welington;Southampton;DF;482;23;0;0;0;1;0;21;7;186;145;11;100;5;0,0;0,0;0,0;0,187;0,0;1
Timo Werner;Tottenham;FW,MF;516;28;0;3;10;25;10;6;1;236;158;30;215;42;0,0;0,523;1,744;4,36;1,744;1
Adam Wharton;Crystal Palace;MF;1,318;20;0;2;4;30;4;34;20;725;548;107;430;14;0,0;136,571;273,141;2048,558;273,141;0
Ben White;Arsenal;DF;1,198;26;0;2;5;14;5;20;16;692;580;59;394;23;0,0;150,25;375,626;1051,753;375,626;1
Mats Wieffer;Brighton;DF,MF;1,015;24;1;3;8;16;8;58;17;698;594;62;483;18;88,67;266,01;709,36;1418,719;709,36;0
Neco Williams;Nott'ham Forest;DF;2,594;23;1;3;23;16;23;90;31;1116;843;89;650;68;34,695;104,086;797,995;555,127;797,995;0
Willian;Fulham;FW,MF;257;35;0;0;3;5;3;4;1;208;178;40;148;11;0,0;0,0;1,051;1,751;1,051;1
Joe Willock;Newcastle Utd;MF,FW;1,086;24;0;2;16;21;16;30;6;363;300;41;325;38;0,0;165,746;1325,967;1740,331;1325,967;1
Callum Wilson;Newcastle Utd;FW;370;32;0;0;4;1;4;2;1;53;40;4;47;5;0,0;0,0;0,973;0,243;0,973;1
Harry Wilson;Fulham;FW,MF;1,162;27;6;1;42;11;42;20;7;445;326;51;342;22;464,716;77,453;3253,012;851,979;3253,012;2
Harry Winks;Leicester City;MF;1,538;28;0;2;2;12;2;24;9;1045;910;101;696;19;0,0;117,035;117,035;702,211;117,035;0
Yoane Wissa;Brentford;FW;2,919;27;19;4;185;26;185;22;8;588;450;67;550;60;585,817;123,33;5704,008;801,644;5704,008;2
Chris Wood;Nott'ham Forest;FW;2,959;32;20;3;134;26;110;6;5;490;315;42;376;14;608,314;91,247;4075,701;790,808;3345,725;2
Nathan Wood-Gordon;Southampton;DF;773;22;0;0;2;0;2;14;5;476;444;17;313;2;0,0;0,0;0,233;0,0;0,233;1
Luke Woolfenden;Ipswich Town;DF;1,187;25;0;0;0;0;0;9;19;562;496;15;368;7;0,0;0,0;0,0;0,0;0,0;1
Yehor Yarmoliuk;Brentford;MF;1,450;20;0;0;6;9;6;49;13;760;661;63;520;15;0,0;0,0;372,414;558,621;372,414;1
Ryan Yates;Nott'ham Forest;MF;1,915;26;2;1;23;12;23;42;26;758;618;53;424;18;93,995;46,997;1080,94;563,969;1080,94;0
Leny Yoro;Manchester Utd;DF;1,165;18;0;0;7;1;7;29;18;766;708;52;614;19;0,0;0,0;540,773;77,253;540,773;1
Ashley Young;Everton;DF;1,875;39;1;3;3;23;3;58;25;999;708;90;487;24;48,0;144,0;144,0;1104,0;144,0;0
Illia Zabarnyi;Bournemouth;DF;3,109;21;0;1;13;7;13;52;41;1710;1404;140;1282;27;0,0;28,948;376,327;202,638;376,327;0
Oleksandr Zinchenko;Arsenal;DF,MF;527;27;0;1;6;2;6;6;5;451;382;48;281;10;0,0;0,171;1,025;0,342;1,025;1
Joshua Zirkzee;Manchester Utd;FW,MF;1,402;23;3;1;48;15;48;14;6;410;292;44;327;14;192,582;64,194;3081,312;962,91;3081,312;1
Martin Ødegaard;Arsenal;MF;2,325;25;3;8;48;54;40;19;6;1499;1237;258;1174;92;116,129;309,677;1858,065;2090,323;1548,387;2
